id;category;title;body;amenities;bathrooms;bedrooms;currency;fee;has_photo;pets_allowed;price;price_display;price_type;square_feet;address;cityname;state;latitude;longitude;source;time
903;5509163049;housing/rent/apartment;$1,665/mo - must see to believe.;Square footage: 498 square ft, unit number: 1410. With access to the Baltimore Washington and -95, The Arundel is crossroads of luxurious living. Whether your shopping in Columbia, enjoying fine dining in Annapolis or sight-seeing in the Nation's Capitol, The Arundel center of it all. 24-hr Emergency Maintenance, BBQ/Picnic Area, Bus. ctr., Close to BWI Airport, Complimentary shuttle service to/from BWI Airport, Concierge, Controlled Access/Gated, Discounts to local restaurants in the Arundel Preserve Town Center, Elevator, Fitness facilities, Free Weights, Garage, Green Building, Highspeed internet, Indoor/Outdoor Rooftop Lounge, Minutes to Arundel Mills Mall, Minutes to Maryland Live! Casino, On-Site Maintenance, Management office onsite, Package Receiving, Public Transportation, Recreation Room, Recycling, Sundeck, Air conditioned, Cable Ready, Carpeting, Dishwasher, Disposal, Efficient Appliances, Electronic Thermostat, Furnished, Premium granite counter tops, Soaring ceilings, Large Closets, Microwave;AC,Cable or Satellite,Dishwasher,Elevator,Gated,Gym,Internet Access,Parking,Patio/Deck,Refrigerator,Washer Dryer;1;2;USD;No;Thumbnail;null;1665;$1,665;Monthly;498;null;Hanover;MD;39.1649;-76.7156;RentDigs.com;1568777250
506;5508876094;housing/rent/apartment;Great Central Location One BR, One BA. $420/mo;the perfect tohome! We have one beds and studio apartments that are conveniently close to the Eastwood Mall and all of the other retail and commercial and dining locations in Niles, OH. Timber Creek is also close to Youngstown State University and the city of Youngstown. We have up-to-date many of our units with new flooring and bathroom and kitchen appliances. The property has undergone extensive upgrades to the laundry facilities and recreation areas, and more are planned in the near future. Income Requirement: Must have 2. 5x the rent in total household income before taxes, include income from all adults. Utilities included: Electric, Gas, Hot Water, Sewer, Trash, Water. Pet restrictions: Aggressive breeds. Parking Info: Open Lot: Included in lease, Carports: $20/month. Covered lot.;Parking;1;1;USD;No;Thumbnail;null;420;$420;Monthly;410;null;Niles;OH;41.2358;-80.7613;RentDigs.com;1568758918
6272;5509184817;housing/rent/apartment;Two Spacious BR in Millersville. Pet OK!;Time to sit back and relax, you have found your perfect new home in Millersville, Maryland! We are just minutes from Annapolis and Baltimore which allows us to be in the heart of just about everything. Come into our lovely community and let us show you our spacious apartment homes featuring roomy kitchens, up-to-date flooring, overhead fans, custom walls, washer/dryers, spacious walk in closets and so much more. Our community offers the best amenities available in apartment living. Enjoy some rays by our beautiful swimming pool, or have a barbecue with of our picnic areas. Don't forget to check out our 2 playgrounds, Bark Park and fully equipped computer center with Wi-Fi. Income Requirement: Must have 2. 5x the rent in total household income before taxes, include income from all adults. Utilities: Renter responsible for all utilities. Additional Charges: Renter's insurance required. Pet restrictions: Aggressive breeds, 100 pounds. Parking Information: Some reserved parking, others are all 1st come 1st serve.;Parking,Pool;1;2;USD;No;Yes;Cats,Dogs;1527;$1,527;Monthly;933;null;Millersville;MD;39.0956;-76.6212;RentDigs.com;1568778368
2581;5668634583;housing/rent/apartment;One BR 15050 N 59th Ave;This unit is located at 15050 N 59th Ave, Glendale, 85306, AZMonthly rental rates range from $975 - $1120We have one - two beds units available for rent;null;1;1;USD;No;Thumbnail;Cats,Dogs;975;$975;Monthly;650;15050 N 59th Avenue;Glendale;AZ;33.5944;-112.1837;RentLingo;1577359996
5609;5668642144;housing/rent/apartment;Two BR Stassney and Emerald Forest;This unit is located at Stassney and Emerald Forest, Austin, 78745, TXMonthly rental rates range from $1150We have 2 beds units available for rent;null;2;2;USD;No;Thumbnail;Cats,Dogs;1150;$1,150;Monthly;860;null;Austin;TX;30.3054;-97.7497;RentLingo;1577360481
834;5668629975;housing/rent/apartment;One BR 9024 NORTHGATE BLVD;This unit is located at 9024 NORTHGATE BLVD, Austin, 78758, TXMonthly rental rates range from $955 - $1389We have one - two beds units available for rent;Dishwasher,Parking,Pool;1;1;USD;No;Thumbnail;None;955;$955;Monthly;484;9024 Northgate Boulevard;Austin;TX;30.3054;-97.7497;RentLingo;1577359661
4793;5668618627;housing/rent/apartment;One BR 781 Spring Street;This unit is located at 781 Spring Street, Macon, 31201, GAMonthly rental rates range from $1440 - $1760We have one - two beds units available for rent Apartment features include:-- Fitness facilities- Sheltered parking- Dishwasher- Controlled Access- In-Unit Laundry- Furnished- Internet Included- Cable Included;Cable or Satellite,Clubhouse,Dishwasher,Garbage Disposal,Internet Access,Parking,Pool,Refrigerator;1;1;USD;No;Thumbnail;Cats,Dogs;1440;$1,440;Monthly;796;781 Spring St;Macon;GA;32.8330;-83.6723;RentLingo;1577358871
2296;5668620028;housing/rent/apartment;One BR 1404 Main St;This unit is located at 1404 Main St, Cedar Falls, 50613, IAMonthly rental rates range from $1000 - $1250We have one - two beds units available for rent Apartment features include:-- In-Unit Laundry- Public Transportation- On Bus Line- Dishwasher- Living Room- Refrigerator- Dining area- Range / Oven;Cable or Satellite,Dishwasher,Internet Access,Parking,Refrigerator;1;1;USD;No;Thumbnail;Cats,Dogs;1000;$1,000;Monthly;630;1404 Main St;Cedar Falls;IA;42.5286;-92.4509;RentLingo;1577358971
3033;5664576921;housing/rent/apartment;One BR 730 Williamson St;This unit is located at 730 Williamson St, Madison, 53703, WIMonthly rental rates range from $1600We have 1 beds units available for rent Apartment available amenities:-- Controlled Access- Internet Included- Handicapped access- Balcony, Deck, Patio- Dishwasher- A-c- Fitness facilities- Storage;Cable or Satellite,Dishwasher,Elevator,Garbage Disposal,Internet Access,Parking,Patio/Deck,Refrigerator,Storage;1;1;USD;No;Thumbnail;Cats,Dogs;1600;$1,600;Monthly;679;730 Williamson St;Madison;WI;43.0724;-89.4003;RentLingo;1577015514
1526;5664574862;housing/rent/apartment;Studio apartment 6009 Oxon Hill Rd;This unit is located at 6009 Oxon Hill Rd, Oxon Hill, 20745, MDMonthly rental rates range from $1664 - $2865We have studio - 3 beds units available for rent Apartment available amenities:-- In-Unit Laundry- Ac- Fitness facilities- Refrigerator- Controlled Access- Walk in Closets- Dishwasher- Balcony, Deck, Patio;Cable or Satellite,Dishwasher,Internet Access,Patio/Deck,Pool,Refrigerator;1;3;USD;No;Thumbnail;Cats,Dogs;1670;$1,670;Monthly;562;6009 Oxon Hill Road;Oxon Hill;MD;38.8077;-76.9886;RentLingo;1577015325
7174;5659912574;housing/rent/apartment;One BR 3412 Dodge St;This unit is located at 3412 Dodge St, Omaha, 68131, NEMonthly rental rates range from $1095 - $1495We have one - two beds units available for rent;null;1;1;USD;No;Thumbnail;Dogs;1095;$1,095;Monthly;1050;3412 Dodge St;Omaha;NE;41.2562;-96.0404;RentLingo;1576667377
5182;5668629322;housing/rent/apartment;Two BR 1111 SUNRISE BLVD.;This unit is located at 1111 SUNRISE BLVD., Round Rock, 78664, TXMonthly rental rates range from $975We have 2 beds units available for rent;Dishwasher,Parking,Pool;1;2;USD;No;Thumbnail;None;975;$975;Monthly;822;1111 Sunrise Boulevard;Round Rock;TX;30.5118;-97.6873;RentLingo;1577359609
6980;5668625064;housing/rent/apartment;Two BR 115 E Johnson St;This unit is located at 115 E Johnson St, Madison, 53703, WIMonthly rental rates range from $1320 - $1520We have two - three beds units available for rent Apartment features include:-- Near Public Charging Station- Electric Included- Water Included- Heat Included;null;1;2;USD;No;Thumbnail;Cats,Dogs;1320;$1,320;Monthly;1019;115 E Johnson St;Madison;WI;43.0724;-89.4003;RentLingo;1577359290
671;5668635031;housing/rent/apartment;One BR 1000 Van Dyke Street;This unit is located at 1000 Van Dyke Street, Detroit, 48214, MIMonthly rental rates range from $995 - $1095We have one - two beds units available for rent;null;1;1;USD;No;Thumbnail;Cats,Dogs;995;$995;Monthly;450;1000 Van Dyke St;Detroit;MI;42.3882;-83.1122;RentLingo;1577360022
1440;5509140016;housing/rent/apartment;Our goal is to make your life as carefree and enjoyable as possible. $550/mo;Our comfortable one beds apartment homes are feature-packed and designed with you in mind. Each home is bright and inviting with generous kitchens and ample closet space. We understand what our residents need in their day-to-day lives, which is why we have organized so many events. You will find a variety of activities designed to encourage social interaction and foster a true sense of community. Our lovely landscaped grounds create a serene and quiet feel, while our location offers easy access to shopping, dining, and entertainment. Combining all of this with a truly caring and dedicated staff, there really is no better to make lasting friendships and to simply enjoy each and every day. Management office onsite, Community Room, Controlled building access, Social Activities, Close to Public Transportation, Picnic/Grilling Area, Close to Downtown, Centrally Located Laundry, Close to Area Shopping, Free Parking, Close to Restaurants, Rec Room, twenty-four-hour Emergency, twenty-four-hour Availability;null;1;1;USD;No;Yes;null;550;$550;Monthly;550;null;Portsmouth;OH;38.7835;-82.9413;RentDigs.com;1568775599
3350;5668612774;housing/rent/apartment;One BR 6501 - 208th Street Sw;This unit is located at 6501 - 208th Street Sw, Lynnwood, 98036, WAMonthly rental rates range from $1275 - $1560We have one - two beds units available for rent Apartment features include:-- Fitness facilities- On-Site Laundry- In-Unit Laundry- Pool- Balcony, Deck, Patio- Dishwasher;Dishwasher,Patio/Deck,Pool;1;1;USD;No;Thumbnail;Cats;1275;$1,275;Monthly;700;6501  208th St SW;Lynnwood;WA;47.8318;-122.2834;RentLingo;1577358500
3149;5509118546;housing/rent/apartment;The Best of the Best in the City of Colorado Springs! Save Big. Pet OK!;Square footage: 688 sq-ft, unit number: 12-0305. Apartment Homes is located in Colorado Springs, Colorado in a desirable area near prime shopping and Promenade and outdoor Black Forest Regional Park. convenient to I-25 and the Interquest Pkwy creating an easy commute to and from Denver. Choose from a variety of Tuscan-style one, 2 and 3 beds floor plans with features like connected garage parking, hardwood style flooring, nine feet ceilings and spacious living areas. Enjoy our well-equipped twenty-four hour fitness facilities, resident club house with bus. ctr., swimming pool with sundeck seating and more! Apply on-line or stop by for your personal tour today! Income Requirement: Must have 3. 0x the rent in total household income before taxes, include income from all adults. Parking Info: Garage lot. Covered lot.;Clubhouse,Gym,Parking,Pool;1;1;USD;No;Yes;Cats,Dogs;1179;$1,179;Monthly;688;null;Colorado Springs;CO;39.0459;-104.8179;RentDigs.com;1568774347
2847;5509023141;housing/rent/apartment;Discover the luxurious of good living.;Edgewood Parks distinctive apartment homes showcase brand new interiors and an array of resort-style amenities. Here youll find all the necessary conveniences to make life easier plus the added touches that make it more lavish. A high-end kitchen complete with stainless appliances and beautifully finished flooring will fingertips every time you want to create a delicious meal. When you want to relax after a long day, your private patio will offer a perfect retreat. Or you can lounge by 1 of two resort-style solar heated pools. If its exercise you crave, a 24-hr state-of-the-art fitness facilities is just steps form your door. Edgewood Park offers fantastic living, located just minutes from major area employers such as Microsoft and T-Mobile, making the good life attainable without a long commute. So treat yourself. Experience Edgewood Park. Last Renovated. More units available: two Bd / 1 Bedrooms 900 square feet for $1,800/mo | one Bd / 1 Bedrooms 710 sq-ft for $1,450/mo |;Gym,Patio/Deck;1;1;USD;No;Thumbnail;null;1425;$1,425;Monthly;667;null;Bellevue;WA;47.6124;-122.1427;RentDigs.com;1568768244
9452;5668617421;housing/rent/apartment;Four BR 97 Balsam Fir Place;This unit is located at 97 Balsam Fir Place, Clayton, 27520, NCMonthly rental rates range from $1475We have 4 beds units available for rent;null;2;4;USD;No;Thumbnail;Cats,Dogs;1475;$1,475;Monthly;1842;97 Balsam Fir Place;Clayton;NC;35.6101;-78.4715;RentLingo;1577358788
9338;5668633268;housing/rent/apartment;Four BR 1205 N Nature Way;This unit is located at 1205 N Nature Way, Mustang, 73064, OKMonthly rental rates range from $1495We have 4 beds units available for rent;null;2;4;USD;No;Thumbnail;None;1495;$1,495;Monthly;1730;1205 N Nature Way;Mustang;OK;35.3892;-97.7313;RentLingo;1577359902
7705;5664576105;housing/rent/apartment;Three BR 6009 Brick Landing Drive;This unit is located at 6009 Brick Landing Drive, Monroe, 28110, NCMonthly rental rates range from $1399We have 3 beds units available for rent;Pool;2;3;USD;No;Thumbnail;Cats,Dogs;1399;$1,399;Monthly;1130;6009 Brick Landing Dr;Monroe;NC;35.0696;-80.6299;RentLingo;1577015442
5899;5508756561;housing/rent/apartment;One BR, One BA, safe neighborhood;A merge between style and location. an intimate luxurious rental home community. Behind the crafted walls awaits an experience you will not find anywhere else. Our apartments in Summerlin offer impeccable, boutique-style residences surrounded by living walls and amazing landscaping. Our expansive, sophisticated floor plans are paired flawlessly with features like soaking tubs, waterfall showers, quartz vanities, secure system, home theater system and more. Our eclectic community includes a pet park, fitness facilities, gorgeous swimming pools, concierge services, twenty-four hour secure and additional resort-style amenities you won't find elsewhere. Discover the luxurious of a lavish lifestyle, a premium locale, and an appointment today. Income Requirement: Must have 3. 0x the rent in total household income before taxes, include income from all adults. Utilities: Renter responsible for all utilities. Additional Charges: Renter's insurance required. Pet restrictions: We welcome two pets per residence.;Gym,Parking;1;1;USD;No;Thumbnail;null;1349;$1,349;Monthly;898;null;Las Vegas;NV;36.1132;-115.2754;RentDigs.com;1568750234
9961;5668637597;housing/rent/apartment;Four BR 3145 Sycamore Rd;This unit is located at 3145 Sycamore Rd, Ames, 50014, IAMonthly rental rates range from $2745We have 4 beds units available for rent;null;3.5;4;USD;No;Thumbnail;None;2745;$2,745;Monthly;3700;3145 Sycamore Road;Ames;IA;42.0259;-93.6516;RentLingo;1577360169
7837;5508666067;housing/rent/apartment;Amazing Two BR, Two BA for rent;Apartment for rent in East Orange. Income Requirement: Must have 3. 0x the rent in total household income before taxes, include income from all adults. Unit amenities: Air conditioner, Tub, Dishwasher, Added storage, Garbage disposal, In unit laundry, Microwave, Oven, Patio / balcony, Range, Refrigerator, washer dryer connection, Community amenities: 24 hour concierge, twenty-four-hour maintenance, Bus. ctr., Cats allowed, Club house, Dog park, Dogs allowed, Elevator, Gymnasium, Internet access, Lobby, Media room, On-line portal, Package receiving, Parking, Pet friendly. Close to dining and shops, bright, gas stove, trash included. More units available: 0 Bd / 1 Bedrooms 511 sq-ft for $1,625/mo | 0 Bd / 1 Bedrooms 511 square feet for $1,755/mo | one Bd / 1 Bedrooms 1,017 sq. feet for $1,970/mo | one Bd / 1 Bedrooms 916 sq. feet for $2,145/mo | one Bd / 1 Bedrooms 1,145 sq. feet for $2,305/mo | 0 Bd / 1 Bedrooms 511 sq. feet for $2,190/mo | one Bd / 1 Bedrooms 916 sq.;AC,Clubhouse,Dishwasher,Elevator,Garbage Disposal,Gym,Internet Access,Parking,Patio/Deck,Refrigerator,Storage,Washer Dryer;2;2;USD;No;Thumbnail;Cats,Dogs;2710;$2,710;Monthly;1151;null;East Orange;NJ;40.7647;-74.2119;RentDigs.com;1568744695
1790;5668641011;housing/rent/apartment;One BR 900 Cooks Valley Rd.;This unit is located at 900 Cooks Valley Rd., Kingsport, 37664, TNMonthly rental rates range from $599 - $849We have one - two beds units available for rent;null;1;1;USD;No;Thumbnail;Cats,Dogs;599;$599;Monthly;593;900 Cooks Valley Road;Kingsport;TN;36.5311;-82.5209;RentLingo;1577360420
3216;5509203528;housing/rent/apartment;Spectacular apartment for rent coming available soon!;If you're interest, give us a shout today! Average to good credit required. for up-to-date detail and more! No second chance leasing, and no s accepted. Appointments are required for tours. Pictures and information are for example purposes only. More units available: three Bd / 2 Bedrooms for $1,665/mo | three Bd / 3 Bedrooms 1,368 square ft for $1,700/mo | two Bd / 2 Bedrooms 1,062 square ft for $1,683/mo | one Bd / 1 Bedrooms 692 square feet for $1,124/mo | two Bd / 2 Bedrooms 1,278 sq. feet for $1,708/mo | one Bd / 1 Bedrooms 882 square feet for $1,139/mo | one Bd / 1 Bedrooms 844 sq-ft for $1,342/mo | three Bd / 2 Bedrooms 1,355 square ft for $1,775/mo | three Bd / 3 Bedrooms 1,368 square ft for $1,718/mo | two Bd / 2 Bedrooms 1,084 sq. feet for $1,677/mo |;null;1;1;USD;No;Thumbnail;null;890;$890;Monthly;692;null;Euless;TX;32.8524;-97.0886;RentDigs.com;1568779131
5178;5509089760;housing/rent/apartment;Apartment in quiet area, spacious with big kitchen. Washer/Dryer Hookups!;Your New Home Awaits. The. is conveniently located off Interstate 285 in Decatur, GA. We are minutes from great schools, restaurants, and many retail shops. In our cozy one and two beds apartment homes, you will find such amenities as, oversized closets, eat-in kitchens, dishwashers and disposals. Swim laps in our relaxing swimming pool and shop and dine in some of the best restaurants and shopping malls around. You have found a new apartment. in Decatur, GA! The. is Peppertree Decatur, GA and, a reputable property management company with verified listings on. Don t miss out on this opportunity! Pets - allowed, Max weight 25 pound each, 1 time $300 Restrictions: Breed restriction, This apartment community also offers amenities such as Off Street parking, Management office onsite and On-Site Maintenance and is located on in the zip code. Browse through 1 Beds apartments or 2 Beds apartments with floorplans ranging from 576. Ft to 1051. Ft. choose your next home in the. community and apply for a lease on-line!;Dishwasher,Parking,Pool,Washer Dryer;1;1;USD;No;No;null;910;$910;Monthly;821;null;Decatur;GA;33.6912;-84.2465;RentDigs.com;1568772772
2247;5668631606;housing/rent/apartment;One BR 10801 OLD MANCHACA RD.;This unit is located at 10801 OLD MANCHACA RD., Austin, 78748, TXMonthly rental rates range from $1145 - $1425We have one - two beds units available for rent;Gym,Pool;1;1;USD;No;Thumbnail;None;1145;$1,145;Monthly;626;10801 Old Manchaca Road;Austin;TX;30.3054;-97.7497;RentLingo;1577359766
1916;5668625583;housing/rent/apartment;One BR 1601 Eastchase Pkwy;This unit is located at 1601 Eastchase Pkwy, Fort Worth, 76120, TXMonthly rental rates range from $850 - $1215We have one - two beds units available for rent Apartment features include:-- Controlled Access- Balcony, Deck, Patio- In-Unit Laundry- Dishwasher- Air conditioned- Fitness facilities- Refrigerator- Washer/dryer Connections;Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,Tennis;1;1;USD;No;Thumbnail;Cats,Dogs;850;$850;Monthly;600;1601 Eastchase Parkway;Fort Worth;TX;32.7407;-97.3394;RentLingo;1577359326
6663;5648135846;housing/rent/apartment;Two BR 705 Century Ave SW Unit #100;This unit is located at 705 Century Ave SW Unit #100, Hutchinson, 55350, MNMonthly rental rates range from $1040We have 2 beds units available for rent;null;2;2;USD;No;Thumbnail;Cats,Dogs;1040;$1,040;Monthly;977;705 Century Avenue SW Unit #100;Hutchinson;MN;44.8902;-94.3728;RentLingo;1575978136
